Month,Harmonised System Code,Harmonised System Description,Unit Qty,Exports ($NZD fob),Exports Qty,Re-exports ($NZD fob),Re-exports Qty,Total Exports ($NZD fob),Total Exports Qty,Status,,,,
201912,101210015,"Horses; live, pure-bred breeding animals, thoroughbred, race breeding stock, mares",NMB,"38,540",4,0,0,"38,540",4,Provisional,,,,
201912,106190029,"Mammals; live, other than primates, whales, dolphins, porpoises (order Cetacea), manatees, dugongs (order Sirenia), seals, sea lions, walruses (suborder Pinnipedia), camels, other camelids, rabbits, hares, deer, and dogs",NMB,"3,000",6,0,0,"3,000",6,Provisional,,,,
201912,106320000,"Birds; live, Psittaciformes, including parrots, parakeets, macaws, and cockatoos",NMB,"81,750",41,0,0,"81,750",41,Provisional,,,,
201912,106410029,"Insects; live, bees other than queen bees",NMB,"3,940",600,0,0,"3,940",600,Provisional,,,,
201912,201200001,"Meat; of bovine animals, beef quarters of steer and heifer, P1 grade, with bone in, fresh or chilled",KGM,"24,078","1,490",0,0,"24,078","1,490",Provisional,,,,
201912,201200039,"Meat; of bovine animals (other than steer, heifer, cow and bull), beef quarters, with bone in, fresh or chilled",KGM,"64,684","2,008",0,0,"64,684","2,008",Provisional,,,,
201912,201200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,"1,603,306","122,088",0,0,"1,603,306","122,088",Provisional,,,,
201912,201200049,"Meat; of bovine animals, beef cuts other than according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, fresh or chilled (excluding carcasses, half-carcasses and quarters)",KGM,"49,199","4,014",0,0,"49,199","4,014",Provisional,,,,
201912,201200069,"Meat; of bovine animals, cuts with bone in n.e.c. in item no. 0201.20, fresh or chilled",KGM,"8,066",290,0,0,"8,066",290,Provisional,,,,
201912,201300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,"38,500,430","2,738,683","1,316",104,"38,501,746","2,738,787",Provisional,,,,
201912,201300009,"Meat; of bovine animals, beef cuts other than according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,"927,755","100,931",0,0,"927,755","100,931",Provisional,,,,
201912,201300011,"Meat; of bovine animals, boneless cuts of bull, fresh or chilled",KGM,"5,041,396","420,061",0,0,"5,041,396","420,061",Provisional,,,,
201912,202100001,"Meat; of bovine animals, carcasses, frozen",KGM,"751,551","129,947",0,0,"751,551","129,947",Provisional,,,,
201912,202200039,"Meat; of bovine animals (excluding steer, heifer, cow and bull), beef quarters, with bone in, frozen",KGM,"27,126","1,547",0,0,"27,126","1,547",Provisional,,,,
201912,202200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,"16,135,788","2,223,967",0,0,"16,135,788","2,223,967",Provisional,,,,
201912,202200049,"Meat; of bovine animals, beef cuts other than according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,"3,324,343","1,257,107",0,0,"3,324,343","1,257,107",Provisional,,,,
201912,202200051,"Meat; of bovine animals, beef cuts of bull, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,"11,018,585","1,813,333",0,0,"11,018,585","1,813,333",Provisional,,,,
201912,202200059,"Meat; of bovine animals, veal (other than bobby) quarters and cuts, with bone in, frozen (excluding carcasses and half-carcasses)",KGM,"44,804","2,524",0,0,"44,804","2,524",Provisional,,,,
201912,202200069,"Meat; of bovine animals, cuts with bone in n.e.c. in item no. 0202.20, frozen",KGM,"817,357","226,718",0,0,"817,357","226,718",Provisional,,,,
201912,202300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, frozen",KGM,"148,463,352","15,954,392",0,0,"148,463,352","15,954,392",Provisional,,,,
201912,202300009,"Meat; of bovine animals, beef cuts other than according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, frozen",KGM,"2,932,303","388,672",0,0,"2,932,303","388,672",Provisional,,,,
201912,202300011,"Meat; of bovine animals, boneless cuts of bull, frozen",KGM,"158,669,007","15,804,386",0,0,"158,669,007","15,804,386",Provisional,,,,
201912,202300021,"Meat; of bovine animals, boneless cuts of veal (bobby), frozen",KGM,"1,771,910","279,295",0,0,"1,771,910","279,295",Provisional,,,,
201912,202300029,"Meat; of bovine animals, boneless cuts of veal (other than bobby), frozen",KGM,864,70,0,0,864,70,Provisional,,,,
201912,203110008,"Meat; of swine, carcasses and half-carcasses, (other than wild pork), fresh or chilled",KGM,"3,096",240,0,0,"3,096",240,Provisional,,,,
201912,203120009,"Meat; of swine (other than wild pork), hams, shoulders and cuts thereof, with bone in, fresh or chilled",KGM,"11,007","1,138","1,986",227,"12,993","1,365",Provisional,,,,
201912,203190009,"Meat; of swine (other than wild pork), fresh or chilled, (excluding carcasses, half-carcasses, and hams, shoulders and cuts thereof, with bone in)",KGM,830,60,"1,785",60,"2,615",120,Provisional,,,,
201912,203220009,"Meat; of swine (other than wild pork), hams, shoulders and cuts thereof, with bone in, frozen",KGM,"70,276","8,950","3,666",470,"73,942","9,420",Provisional,,,,
201912,203290011,"Meat; of swine n.e.c. in item no. 0203.2, frozen, meat bones and hocks",KGM,609,313,0,0,609,313,Provisional,,,,
201912,203290019,"Meat; of swine n.e.c. in item no. 0203.2, frozen, other than meat bones and hocks",KGM,"24,275","3,317",0,0,"24,275","3,317",Provisional,,,,
201912,204100038,"Meat; of sheep, lamb carcasses and half-carcasses, YM grade, fresh or chilled",KGM,"236,980","20,389",0,0,"236,980","20,389",Provisional,,,,
201912,204100042,"Meat; of sheep, lamb carcasses and half-carcasses, YX grade, fresh or chilled",KGM,"137,512","11,156",0,0,"137,512","11,156",Provisional,,,,
201912,204100048,"Meat; of sheep, lamb carcasses and half-carcasses n.e.c. in item no. 0204.10, fresh or chilled",KGM,"4,089",345,0,0,"4,089",345,Provisional,,,,
201912,204210042,"Meat; of sheep, mutton carcasses and half-carcasses, MX grade, fresh or chilled",KGM,"7,692",797,0,0,"7,692",797,Provisional,,,,
201912,204220001,"Meat; of sheep, lamb cuts with bone in, fresh or chilled (excluding carcasses and half-carcasses)",KGM,"55,220,337","3,866,769",0,0,"55,220,337","3,866,769",Provisional,,,,
201912,204220009,"Meat; of sheep (excluding lamb), cuts with bone in, fresh or chilled, (excluding carcasses and half-carcasses)",KGM,"8,712",587,0,0,"8,712",587,Provisional,,,,
201912,204230001,"Meat; of sheep, boneless cuts of lamb, fresh or chilled",KGM,"19,949,563","1,204,288",0,0,"19,949,563","1,204,288",Provisional,,,,
201912,204230009,"Meat; of sheep (excluding lamb), boneless cuts, fresh or chilled",KGM,"51,915","3,057",0,0,"51,915","3,057",Provisional,,,,
201912,204300002,"Meat; of sheep, lamb carcasses and half-carcasses, A grade, frozen",KGM,"2,041",221,0,0,"2,041",221,Provisional,,,,
201912,204300018,"Meat; of sheep, lamb carcasses and half-carcasses, PL grade, frozen",KGM,"4,223",407,0,0,"4,223",407,Provisional,,,,
201912,204300022,"Meat; of sheep, lamb carcasses and half-carcasses, PM grade, frozen",KGM,"14,266","1,668",0,0,"14,266","1,668",Provisional,,,,
201912,204300028,"Meat; of sheep, lamb carcasses and half-carcasses, PX grade, frozen",KGM,"12,157","1,138",0,0,"12,157","1,138",Provisional,,,,
201912,204300032,"Meat; of sheep, lamb carcasses and half-carcasses, YL grade, frozen",KGM,"312,939","31,034",0,0,"312,939","31,034",Provisional,,,,
201912,204300038,"Meat; of sheep, lamb carcasses and half-carcasses, YM grade, frozen",KGM,"2,944,732","313,314",0,0,"2,944,732","313,314",Provisional,,,,
201912,204300042,"Meat; of sheep, lamb carcasses and half-carcasses, YX grade, frozen",KGM,"119,074","11,977",0,0,"119,074","11,977",Provisional,,,,
201912,204300048,"Meat; of sheep, lamb carcasses and half-carcasses n.e.c. in item no. 0204.30, frozen",KGM,"821,266","81,754",0,0,"821,266","81,754",Provisional,,,,
201912,204410002,"Meat; of sheep, hogget carcasses and half-carcasses, HL grade, frozen",KGM,"374,606","42,471",0,0,"374,606","42,471",Provisional,,,,
201912,204410008,"Meat; of sheep, hogget carcasses and half-carcasses, HX grade, frozen",KGM,"300,677","36,229",0,0,"300,677","36,229",Provisional,,,,
201912,204410022,"Meat; of sheep, mutton carcasses and half-carcasses, MF grade, frozen",KGM,"1,668,677","270,230",0,0,"1,668,677","270,230",Provisional,,,,
201912,204410028,"Meat; of sheep, mutton carcasses and half-carcasses, MH grade, frozen",KGM,"2,064,697","311,726",0,0,"2,064,697","311,726",Provisional,,,,
201912,204410032,"Meat; of sheep, mutton carcasses and half-carcasses, ML grade, frozen",KGM,"3,015,777","364,489",0,0,"3,015,777","364,489",Provisional,,,,
201912,204410038,"Meat; of sheep, mutton carcasses and half-carcasses, MM grade, frozen",KGM,"1,907,168","250,114",0,0,"1,907,168","250,114",Provisional,,,,
201912,204410042,"Meat; of sheep, mutton carcasses and half-carcasses, MX grade, frozen",KGM,"18,864,702","2,235,915",0,0,"18,864,702","2,235,915",Provisional,,,,
201912,204410048,"Meat; of sheep, mutton carcasses and half-carcasses n.e.c. in item no. 0204.41, frozen",KGM,"752,706","102,066",0,0,"752,706","102,066",Provisional,,,,
201912,204420001,"Meat; of sheep, lamb cuts with bone in, frozen (excluding carcasses and half-carcasses)",KGM,"147,353,980","13,027,448",0,0,"147,353,980","13,027,448",Provisional,,,,
201912,204420009,"Meat; of sheep (excluding lamb), cuts with bone in, frozen (excluding carcasses and half-carcasses)",KGM,"64,856,555","7,867,013",0,0,"64,856,555","7,867,013",Provisional,,,,
201912,204430001,"Meat; of sheep, boneless cuts of lamb, frozen",KGM,"23,321,359","1,972,565",0,0,"23,321,359","1,972,565",Provisional,,,,
201912,204430009,"Meat; of sheep (excluding lamb), boneless cuts, frozen",KGM,"5,765,598","605,900",0,0,"5,765,598","605,900",Provisional,,,,
201912,204500000,"Meat; of goats, fresh, chilled or frozen",KGM,"503,020","44,545",0,0,"503,020","44,545",Provisional,,,,
201912,206100029,"Offal, edible; of bovine animals, tongues, fresh or chilled",KGM,"334,080","19,644",0,0,"334,080","19,644",Provisional,,,,
201912,206100039,"Offal, edible; of bovine animals, n.e.c. in item no. 0206.10, fresh or chilled",KGM,"738,472","65,374",0,0,"738,472","65,374",Provisional,,,,
201912,206210000,"Offal, edible; of bovine animals, tongues, frozen",KGM,"3,981,231","556,450",0,0,"3,981,231","556,450",Provisional,,,,
201912,206220000,"Offal, edible; of bovine animals, livers, frozen",KGM,"1,100,623","880,808",0,0,"1,100,623","880,808",Provisional,,,,
201912,206290009,"Offal, edible; of bovine animals, hearts, frozen",KGM,"1,097,853","383,737",0,0,"1,097,853","383,737",Provisional,,,,
201912,206290011,"Offal, edible; of bovine animals, kidneys, frozen",KGM,"685,134","147,280",0,0,"685,134","147,280",Provisional,,,,
201912,206290019,"Offal, edible; of bovine animals, sweetbreads, frozen",KGM,"25,198","2,478",0,0,"25,198","2,478",Provisional,,,,
201912,206290029,"Offal, edible; of bovine animals, n.e.c. in item no. 0206.2, frozen",KGM,"11,903,288","1,712,094",0,0,"11,903,288","1,712,094",Provisional,,,,
201912,206900001,"Offal, edible; of lamb, brains, frozen",KGM,"34,988","3,016",0,0,"34,988","3,016",Provisional,,,,
201912,206900009,"Offal, edible; of lamb, hearts, frozen",KGM,"377,807","110,876",0,0,"377,807","110,876",Provisional,,,,
201912,206900011,"Offal, edible; of lamb, kidneys, frozen",KGM,"1,819,551","156,316",0,0,"1,819,551","156,316",Provisional,,,,
201912,206900019,"Offal, edible; of lamb, livers, frozen",KGM,"940,133","561,642",0,0,"940,133","561,642",Provisional,,,,
201912,206900021,"Offal, edible; of lamb, sweetbreads, frozen",KGM,"267,443","36,816",0,0,"267,443","36,816",Provisional,,,,
201912,206900029,"Offal, edible; of lamb, tongues, frozen",KGM,"186,527","23,962",0,0,"186,527","23,962",Provisional,,,,
201912,206900039,"Offal, edible; of lamb, n.e.c. in item no. 0206.90, frozen",KGM,"2,260,766","426,743",0,0,"2,260,766","426,743",Provisional,,,,
201912,206900049,"Offal, edible; of sheep (excluding lamb), hearts, frozen",KGM,"142,955","44,648",0,0,"142,955","44,648",Provisional,,,,
201912,206900059,"Offal, edible; of sheep (excluding lamb), livers, frozen",KGM,"517,863","239,183",0,0,"517,863","239,183",Provisional,,,,
201912,206900079,"Offal, edible; of sheep (excluding lamb), n.e.c. in item no. 0206.90, frozen",KGM,"1,000,082","234,937",0,0,"1,000,082","234,937",Provisional,,,,
201912,207110000,"Meat and edible offal; of fowls of the species Gallus domesticus, not cut in pieces, fresh or chilled",KGM,"56,373","17,169",0,0,"56,373","17,169",Provisional,,,,
201912,207120000,"Meat and edible offal; of fowls of the species Gallus domesticus, not cut in pieces, frozen",KGM,"834,246","255,589",0,0,"834,246","255,589",Provisional,,,,
201912,207130000,"Meat and edible offal; of fowls of the species Gallus domesticus, cuts and offal, fresh or chilled",KGM,"380,719","58,441",0,0,"380,719","58,441",Provisional,,,,
201912,207149000,"Meat and edible offal; of fowls of the species Gallus domesticus, cuts and offal, frozen, excluding livers",KGM,"2,748,349","724,612",0,0,"2,748,349","724,612",Provisional,,,,
201912,207240000,"Meat and edible offal; of turkeys, not cut in pieces, fresh or chilled",KGM,295,24,0,0,295,24,Provisional,,,,
201912,207250000,"Meat and edible offal; of turkeys, not cut in pieces, frozen",KGM,"42,491","4,879",0,0,"42,491","4,879",Provisional,,,,
201912,207260000,"Meat and edible offal; of turkeys, cuts and offal, fresh or chilled",KGM,"29,220","3,592",0,0,"29,220","3,592",Provisional,,,,
201912,207279000,"Meat and edible offal; of turkeys, cuts and offal, frozen, excluding livers",KGM,"27,334","9,089",0,0,"27,334","9,089",Provisional,,,,
201912,207410010,"Meat and edible offal; of ducks, not cut in pieces, fresh or chilled",KGM,394,54,0,0,394,54,Provisional,,,,
201912,207420010,"Meat and edible offal; of ducks, not cut in pieces, frozen",KGM,"43,114","5,160","3,414",475,"46,528","5,635",Provisional,,,,
201912,207459000,"Meat and edible offal; of ducks, cuts and offal, excluding fatty livers, frozen, excluding livers",KGM,"4,674",214,0,0,"4,674",214,Provisional,,,,
201912,208900011,"Meat and edible meat offal; of deer, fresh, chilled or frozen, pizzles",KGM,"626,575","7,980",0,0,"626,575","7,980",Provisional,,,,
201912,208900013,"Meat and edible meat offal; of deer, fresh, chilled or frozen, tails",KGM,"1,072,697","4,910",0,0,"1,072,697","4,910",Provisional,,,,
201912,208900015,"Meat and edible meat offal; of deer, fresh, chilled or frozen, offal (excluding pizzles or tails)",KGM,"632,949","43,189",0,0,"632,949","43,189",Provisional,,,,
201912,208900017,"Edible meat; other than offal, of deer, venison, chilled",KGM,"4,478,578","158,182",0,0,"4,478,578","158,182",Provisional,,,,
201912,208900018,"Edible meat; other than offal, of deer, venison, frozen",KGM,"7,142,101","603,848",0,0,"7,142,101","603,848",Provisional,,,,
201912,208900028,"Meat and edible meat offal; partridges, pheasants, wild ducks and other birds n.e.c. in heading no. 0207, fresh, chilled or frozen",KGM,471,19,0,0,471,19,Provisional,,,,
201912,210110009,"Meat; of swine, hams, shoulders and cuts thereof, with bone in, salted, in brine or dried",KGM,"12,933","1,578",0,0,"12,933","1,578",Provisional,,,,
201912,210120000,"Meat; of swine, bellies (streaky) and cuts thereof, salted, in brine, dried or smoked",KGM,"8,889",952,0,0,"8,889",952,Provisional,,,,
201912,210190001,"Meat; of swine, bacon, salted, in brine, dried or smoked",KGM,"105,679","10,844",0,0,"105,679","10,844",Provisional,,,,
201912,210190029,"Meat; of swine, n.e.c. in heading 0210, dried",KGM,"6,706","2,447",0,0,"6,706","2,447",Provisional,,,,
201912,210200000,"Meat; of bovine animals, salted, in brine, dried or smoked",KGM,"21,678",413,0,0,"21,678",413,Provisional,,,,
201912,210993049,"Meat and edible meat offal; salted, in brine, dried or smoked, and edible flours and meals of meat or meat offal, n.e.c. in heading 0210",KGM,"156,159","6,117",0,0,"156,159","6,117",Provisional,,,,
201912,301190000,"Fish; live, ornamental, other than freshwater",KGM,"18,000",200,0,0,"18,000",200,Provisional,,,,
201912,301920000,"Fish; live, eels (anguilla spp.)",KGM,"164,069","10,966",0,0,"164,069","10,966",Provisional,,,,
201912,302130010,"Fish; fresh or chilled, Pacific salmon (Oncorhynchus nerka/gorbuscha/keta/tschawytscha/kisutch/masou/rhodurus), whole",KGM,"5,816,720","278,130",0,0,"5,816,720","278,130",Provisional,,,,
201912,302130015,"Fish; fresh or chilled, Pacific salmon (Oncorhynchus nerka/gorbuscha/keta/tschawytscha/kisutch/masou/rhodurus), headed and gutted",KGM,"623,426","32,216",0,0,"623,426","32,216",Provisional,,,,
201912,302130029,"Fish; fresh or chilled, Pacific salmon (Oncorhynchus nerka/gorbuscha/keta/tschawytscha/kisutch/masou/rhodurus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"1,246,665","70,634",0,0,"1,246,665","70,634",Provisional,,,,
201912,302230001,"Fish; fresh or chilled, sole (Solea spp.), whole",KGM,"1,279",148,0,0,"1,279",148,Provisional,,,,
201912,302240010,"Fish; fresh or chilled, turbots (Psetta maxima, Scophthalmidae), whole",KGM,"15,195","1,865",0,0,"15,195","1,865",Provisional,,,,
201912,302240029,"Fish; fresh or chilled, turbots (Psetta maxima, Scophthalmidae), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,854,156,0,0,854,156,Provisional,,,,
201912,302290002,"Fish; fresh or chilled, flounder, whole",KGM,"166,737","16,595",0,0,"166,737","16,595",Provisional,,,,
201912,302290012,"Fish; fresh or chilled, lemon sole, whole",KGM,"3,928",499,0,0,"3,928",499,Provisional,,,,
201912,302290021,"Fish; fresh or chilled, New Zealand sole, whole",KGM,"1,845",214,0,0,"1,845",214,Provisional,,,,
201912,302290028,"Fish; fresh or chilled, flat fish n.e.c. in heading 0302, whole",KGM,282,42,0,0,282,42,Provisional,,,,
201912,302290031,"Fish; fresh or chilled, flounder, headed and gutted",KGM,"7,359",951,0,0,"7,359",951,Provisional,,,,
201912,302290063,"Fish; fresh or chilled, flounder, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"122,567","9,710",0,0,"122,567","9,710",Provisional,,,,
201912,302290097,"Fish; fresh or chilled, flat fish n.e.c. in heading 0302, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,6,1,0,0,6,1,Provisional,,,,
201912,302310001,"Fish; fresh or chilled, albacore or longfinned tunas (Thunnus alalunga), whole",KGM,"1,057",152,0,0,"1,057",152,Provisional,,,,
201912,302320001,"Fish; fresh or chilled, yellowfin tunas (Thunnus albacares), whole",KGM,"2,170",187,0,0,"2,170",187,Provisional,,,,
201912,302320029,"Fish; fresh or chilled, yellowfin tunas (Thunnus albacares), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"2,142",317,0,0,"2,142",317,Provisional,,,,
201912,302340010,"Fish; fresh or chilled, bigeye tunas (Thunnus obesus), whole",KGM,"13,010",615,0,0,"13,010",615,Provisional,,,,
201912,302340012,"Fish; fresh or chilled, bigeye tunas (Thunnus obesus), headed and gutted",KGM,"12,934","1,553",0,0,"12,934","1,553",Provisional,,,,
201912,302350033,"Fish; fresh or chilled, Pacific bluefin tunas (Thunnus orientalis), whole",KGM,"6,548",351,0,0,"6,548",351,Provisional,,,,
201912,302350035,"Fish; fresh or chilled, Pacific bluefin tunas (Thunnus orientalis), headed and gutted",KGM,"4,853",440,0,0,"4,853",440,Provisional,,,,
201912,302360010,"Fish; fresh or chilled, southern bluefin tunas (Thunnus maccoyii), whole",KGM,"33,294","3,020",0,0,"33,294","3,020",Provisional,,,,
201912,302390007,"Fish; fresh or chilled, tuna, n.e.c. in item no. 0302.3, whole",KGM,85,7,0,0,85,7,Provisional,,,,
201912,302470015,"Fish; fresh or chilled, swordfish (Xiphias gladius), headed and gutted",KGM,"20,751","1,648",0,0,"20,751","1,648",Provisional,,,,
201912,302490019,"Fish; fresh or chilled, n.e.c. in item no. 0302.4, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,951,105,0,0,951,105,Provisional,,,,
201912,302510010,"Fish; fresh or chilled, cod (Gadus morhua, Gadus ogac, Gadus macrocephalus), whole",KGM,"6,158",450,0,0,"6,158",450,Provisional,,,,
201912,302510015,"Fish; fresh or chilled, cod (Gadus morhua, Gadus ogac, Gadus macrocephalus), headed and gutted",KGM,324,26,0,0,324,26,Provisional,,,,
201912,302540015,"Fish; fresh or chilled, hake (Merluccius spp., Urophycis spp.), headed and gutted",KGM,"5,020",768,0,0,"5,020",768,Provisional,,,,
201912,302590010,"Fish; fresh or chilled, n.e.c. in item no. 0302.5, whole",KGM,"6,285",354,0,0,"6,285",354,Provisional,,,,
201912,302590015,"Fish; fresh or chilled, n.e.c. in item no. 0302.5, headed and gutted",KGM,"4,403",649,0,0,"4,403",649,Provisional,,,,
201912,302590029,"Fish; fresh or chilled, n.e.c. in item no. 0302.5, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"5,131",371,0,0,"5,131",371,Provisional,,,,
201912,302740010,"Fish; fresh or chilled, eels (Anguilla spp.), whole",KGM,"6,804",435,0,0,"6,804",435,Provisional,,,,
201912,302810010,"Fish; fresh or chilled, dogfish and other sharks, whole",KGM,"203,470","22,920",0,0,"203,470","22,920",Provisional,,,,
201912,302810015,"Fish; fresh or chilled, dogfish and other sharks, headed and gutted",KGM,"158,267","21,795",0,0,"158,267","21,795",Provisional,,,,
201912,302810029,"Fish; fresh or chilled, dogfish and other sharks, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"16,362","1,762",0,0,"16,362","1,762",Provisional,,,,
201912,302820029,"Fish; fresh or chilled, rays and skates (Rajidae), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,44,6,0,0,44,6,Provisional,,,,
201912,302850010,"Fish; fresh or chilled, seabream (Sparidae), snapper, whole",KGM,"3,144,204","290,079",0,0,"3,144,204","290,079",Provisional,,,,
201912,302850019,"Fish; fresh or chilled, seabream (Sparidae), other than snapper, whole",KGM,"39,581","2,423",0,0,"39,581","2,423",Provisional,,,,
201912,302850033,"Fish; fresh or chilled, seabream (Sparidae), snapper, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"18,512","1,152",0,0,"18,512","1,152",Provisional,,,,
201912,302891010,"Fish; fresh or chilled, bluenose, whole",KGM,"311,916","21,557",0,0,"311,916","21,557",Provisional,,,,
201912,302891015,"Fish; fresh or chilled, groper, whole",KGM,"291,459","20,006",0,0,"291,459","20,006",Provisional,,,,
201912,302891019,"Fish; fresh or chilled, gurnard, whole",KGM,"18,481","1,951",0,0,"18,481","1,951",Provisional,,,,
201912,302891025,"Fish; fresh or chilled, John Dory, whole",KGM,"367,925","31,216",0,0,"367,925","31,216",Provisional,,,,
201912,302891029,"Fish; fresh or chilled, leatherjacket, whole",KGM,208,39,0,0,208,39,Provisional,,,,
201912,302891039,"Fish; fresh or chilled, mullet, whole",KGM,"9,290",906,0,0,"9,290",906,Provisional,,,,
201912,302891049,"Fish; fresh or chilled, tarakihi, whole",KGM,"11,467","1,268",0,0,"11,467","1,268",Provisional,,,,
201912,302891055,"Fish; fresh or chilled, trevally, whole",KGM,"42,208","4,903",0,0,"42,208","4,903",Provisional,,,,
201912,302891065,"Fish; fresh or chilled, yellowtail kingfish, whole",KGM,"14,544","1,173",0,0,"14,544","1,173",Provisional,,,,
201912,302891079,"Fish; fresh or chilled, n.e.c. in heading 0302, whole",KGM,"195,007","17,488",0,0,"195,007","17,488",Provisional,,,,
201912,302892010,"Fish; fresh or chilled, bluenose, headed and gutted",KGM,"145,528","10,942",0,0,"145,528","10,942",Provisional,,,,
201912,302892015,"Fish; fresh or chilled, groper, headed and gutted",KGM,"113,787","8,563",0,0,"113,787","8,563",Provisional,,,,
201912,302892029,"Fish; fresh or chilled, leatherjacket, headed and gutted",KGM,479,87,0,0,479,87,Provisional,,,,
201912,302892055,"Fish; fresh or chilled, trevally, headed and gutted",KGM,"17,217","4,274",0,0,"17,217","4,274",Provisional,,,,
201912,302892059,"Fish; fresh or chilled, yellowtail kingfish, headed and gutted",KGM,417,31,0,0,417,31,Provisional,,,,
201912,302892079,"Fish; fresh or chilled, n.e.c. in heading 0302, headed and gutted",KGM,"214,005","20,284",0,0,"214,005","20,284",Provisional,,,,
201912,302899011,"Fish; fresh or chilled, bluenose, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"9,854",633,0,0,"9,854",633,Provisional,,,,
